"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 21:49:55 UTC 2023","Mon Oct 30 21:50:14 UTC 2023","18975","webkit","test-id2.spec.js","","","","login error",""
"passed","Mon Oct 30 21:48:30 UTC 2023","Mon Oct 30 21:48:38 UTC 2023","7678","chromium","test-id4.spec.js","","","","register",""
"passed","Mon Oct 30 21:49:01 UTC 2023","Mon Oct 30 21:49:12 UTC 2023","10374","firefox","test-id3.spec.js","","","","reset password",""
"passed","Mon Oct 30 21:48:15 UTC 2023","Mon Oct 30 21:48:21 UTC 2023","5752","chromium","test-id2.spec.js","","","","login error",""
"passed","Mon Oct 30 21:49:30 UTC 2023","Mon Oct 30 21:49:34 UTC 2023","4329","firefox","test-id5.spec.js","","","","search",""
"passed","Mon Oct 30 21:50:32 UTC 2023","Mon Oct 30 21:50:51 UTC 2023","18539","webkit","test-id4.spec.js","","","","register",""
"passed","Mon Oct 30 21:49:12 UTC 2023","Mon Oct 30 21:49:30 UTC 2023","18482","firefox","test-id4.spec.js","","","","register",""
"passed","Mon Oct 30 21:48:42 UTC 2023","Mon Oct 30 21:48:52 UTC 2023","10254","firefox","test-id1.spec.js","","","","login",""
"passed","Mon Oct 30 21:48:02 UTC 2023","Mon Oct 30 21:48:12 UTC 2023","10196","chromium","test-id1.spec.js","","","","login",""
"passed","Mon Oct 30 21:50:14 UTC 2023","Mon Oct 30 21:50:32 UTC 2023","18439","webkit","test-id3.spec.js","","","","reset password",""
"passed","Mon Oct 30 21:48:38 UTC 2023","Mon Oct 30 21:48:41 UTC 2023","3553","chromium","test-id5.spec.js","","","","search",""
"passed","Mon Oct 30 21:48:55 UTC 2023","Mon Oct 30 21:49:01 UTC 2023","6375","firefox","test-id2.spec.js","","","","login error",""
"passed","Mon Oct 30 21:49:36 UTC 2023","Mon Oct 30 21:49:52 UTC 2023","16562","webkit","test-id1.spec.js","","","","login",""
"passed","Mon Oct 30 21:50:51 UTC 2023","Mon Oct 30 21:51:02 UTC 2023","11444","webkit","test-id5.spec.js","","","","search",""
"passed","Mon Oct 30 21:48:21 UTC 2023","Mon Oct 30 21:48:30 UTC 2023","9437","chromium","test-id3.spec.js","","","","reset password",""
